'Jeotgalibacillus soli'
Alphaproteobacteria bacterium
Altererythrobacter atlanticus
Altererythrobacter epoxidivorans
Altererythrobacter marensis
Altererythrobacter namhicola
Altererythrobacter sp.
Altererythrobacter xiamenensis
Alternaria alternata
Alteromonadaceae bacterium
Alteromonas confluentis
Alteromonas lipolytica
Alteromonas macleodii
Alteromonas sp.
Amazona aestiva
Amborella trichopoda
Aminobacter sp.
Aminobacterium colombiense
Aminomonas paucivorans
Ammonifex degensii
Amphibacillus xylanus
Amphimedon queenslandica
Amycolatopsis australiensis
Amycolatopsis halophila
Amycolatopsis mediterranei
Amycolatopsis methanolica
Amycolatopsis orientalis
Amycolicicoccus subflavus
Amylibacter cionae
Amylibacter kogurei
Anabaena cylindrica
Anabaena sp.
Anabaena variabilis
Anaerobacillus alkalilacustre
Anaerobacillus sp.
Anaerobaculum hydrogeniformans
Anaerobium acetethylicum
Anaerococcus hydrogenalis
Anaerococcus lactolyticus
Anaerococcus prevotii
Anaerococcus tetradius
Anaerococcus vaginalis
Anaerocolumna jejuensis
Anaerocolumna xylanovorans
Anaerofustis stercorihominis
Anaeroglobus geminatus
Anaerolinaceae bacterium
Anaerolinea sp.
Anaerolinea thermophila
Anaerolineaceae bacterium
Anaerolineae bacterium
Anaeromyxobacter dehalogenans
Anaeromyxobacter sp.
Anaerophaga sp.
Anaerosphaera aminiphila
Anaerosphaera sp.
Anaerosporobacter mobilis
Anaerosporomusa subterranea
Anaerostipes caccae
Anaerostipes sp.
Anaerotruncus colihominis
Anaerotruncus sp.
Anaerovibrio lipolyticus
Anaerovibrio sp.
Ananas comosus
Andreprevotia lacus
Aneurinibacillus aneurinilyticus
Aneurinibacillus migulanus
Aneurinibacillus sp.
Angustibacter sp.
Anopheles coluzzii
Anopheles darlingi
Anoxybacillus amylolyticus
Anoxybacillus flavithermus
Anoxybacillus sp.
Antarctobacter heliothermus
Antarctobacter sp.
Aphanizomenon flos-aquae
Aphanizomenon ovalisporum
Aphanomyces astaci
Aphanomyces invadans
Apibacter mensalis
Aquabacterium sp.
Aquamicrobium defluvii
Aquaspirillum sp.
Aquiflexum balticum
Aquimarina atlantica
Aquimarina sp.
Aquimixticola soesokkakensis
Aquitalea magnusonii
Arabidopsis lyrata
Arabidopsis thaliana
Arabis alpina
Arachidicoccus sp.
Arboriscoccus pini
Arc I
Arcanobacterium haemolyticum
Arcanobacterium sp.
Archaeoglobus fulgidus
Archaeoglobus sp.
Archaeoglobus veneficus
Archangium gephyra
Arcobacter butzleri
Arcobacter cryaerophilus
Arcobacter nitrofigilis
Arcobacter porcinus
Arcobacter sp.
Arcobacter thereius
Arcticibacter svalbardensis
Arenibacter algicola
Arenibacter sp.
Arenimonas composti
Arenimonas donghaensis
Arenimonas malthae
Arenimonas metalli
Arenimonas oryziterrae
Arenitalea lutea
Armatimonadetes bacterium
Aromatoleum aromaticum
Arsenicibacter rosenii
Arsenicicoccus sp.
Arsenophonus endosymbiont
Arsukibacterium sp.
Arthrobacter agilis
Arthrobacter aurescens
Arthrobacter chlorophenolicus
Arthrobacter crystallopoietes
Arthrobacter globiformis
Arthrobacter phenanthrenivorans
Arthrobacter rhombi
Arthrobacter saudimassiliensis
Arthrobacter sp.
Arthrobacter woluwensis
Arthrobotrys oligospora
Arthroderma benhamiae
Arthroderma gypseum
Arthrospira maxima
Arthrospira platensis
Arthrospira sp.
Asaia bogorensis
Asaia platycodi
Asanoa sp.
Aschersonia aleyrodis
Ascidiaceihabitans donghaensis
Ascoidea rubescens
Aspergillus aculeatus
Aspergillus bombycis
Aspergillus brasiliensis
Aspergillus calidoustus
Aspergillus carbonarius
Aspergillus cristatus
Aspergillus flavus
Aspergillus fumigatus
Aspergillus glaucus
Aspergillus kawachii
Aspergillus lentulus
Aspergillus nidulans
Aspergillus niger
Aspergillus nomius
Aspergillus oryzae
Aspergillus parasiticus
Aspergillus rambellii
Aspergillus ruber
Aspergillus sydowii
Aspergillus terreus
